code,open,close,high,low,volume,money,pct_change,tradDays,date
000001.XSHE,18.36,18.04,18.65,17.79,298884769.0,5413184951.21,-0.002410625482264117,4,2020-12-27
000001.XSHE,18.02,19.34,19.58,17.96,413643050.0,7826713658.08,0.013045598820886406,4,2021-01-03
000001.XSHE,19.1,19.85,20.1,17.8,809017217.0,15284402123.61,0.004973930713289665,5,2021-01-10
000001.XSHE,20.0,21.0,21.95,19.95,773858697.0,16089706417.1,0.011479392365740138,5,2021-01-17
000001.XSHE,21.2,22.03,22.97,21.2,654939630.0,14612303402.869999,0.010196523771538013,5,2021-01-24
000002.XSHE,28.01,28.1,28.52,27.56,208517732.0,5829261510.489999,-0.0007047788513533382,4,2020-12-27
000002.XSHE,28.18,28.7,28.86,27.86,227443320.0,6480807412.22,0.006006266929664106,4,2021-01-03
000002.XSHE,28.4,29.34,29.5,27.1,593522003.0,16786666217.189999,0.0063262677827373714,5,2021-01-10
000002.XSHE,29.5,29.95,30.79,29.27,564897545.0,16930482047.720001,0.006106112779157735,5,2021-01-17
000002.XSHE,30.2,29.26,32.35,29.01,578474777.0,17689388363.940002,-0.007034304892912124,5,2021-01-24
000004.XSHE,23.0,21.71,23.15,20.51,11957531.0,264367934.86,-0.010090109899098976,4,2020-12-27
000004.XSHE,21.01,20.7,21.49,20.31,10758830.0,223256498.32,-0.01013499458336975,4,2021-01-03
000004.XSHE,20.69,19.22,21.19,18.05,16189401.0,322300683.0500001,-0.01478173963971885,5,2021-01-10
000004.XSHE,19.06,18.63,19.31,17.56,13841367.0,254922573.54,-0.005999464700809032,5,2021-01-17
000004.XSHE,18.6,19.69,21.1,18.48,20009546.0,403064122.48999995,0.01050770868304407,5,2021-01-24
000005.XSHE,2.54,2.52,2.57,2.49,23431581.0,59120451.129999995,-0.00030000999699997255,4,2020-12-27
000005.XSHE,2.51,2.53,2.53,2.48,24936333.0,62378445.57,9.986999900113425e-05,4,2021-01-03
000005.XSHE,2.53,2.37,2.53,2.32,46617823.0,113266783.60999998,-0.0015991202019799422,5,2021-01-10
000005.XSHE,2.37,2.26,2.37,2.15,37139246.0,83642965.94999999,-0.0011003995479520468,5,2021-01-17
